iata,name,city,country,lat,lon
JFK,John F Kennedy International,New York,USA,40.6413,-73.7781
LHR,Heathrow,London,UK,51.4700,-0.4543
ORD,OHare International,Chicago,USA,41.9742,-87.9073
DFW,Dallas Fort Worth,Dallas,USA,32.8998,-97.0403
ATL,Hartsfield Jackson Atlanta,Atlanta,USA,33.6407,-84.4277
CDG,Charles de Gaulle,Paris,France,49.0097,2.5479
FRA,Frankfurt,Frankfurt,Germany,50.0379,8.5622
MAD,Adolfo Suárez Madrid-Barajas,Madrid,Spain,40.4893,-3.5676
